,,,,,,,Stem,Stem,Stem,Plant Angle,,Clump,Transect,Tallest Stem,,,Flowering Intensity,,,Senesced
,,,,,,,Diameter,Diameter,Diameter,inside ,outside,Diameter mm,Count,Ligule,True leaf,Flower,<50,>50,>80,>80
,,,,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date
,,,,,,,51112,51112,51112,10213,10213,131112,291012,271112,271112,271112,271112,271112,271112,271112
,,,,,,,,,,,,,,,,,,,,
BLOCK,ROW,COLUMN,UID,Mx Number,Block,,StemDiam1,StemDiam2,StemDiam3,AngleInside,AngleOutside,ClumpDiam,TransectCount,TallestStemLigule,TallestStemTrueLeaf,TallestStemFlower,FloweringIntensityLessThan50,FloweringIntensityGreaterThan50,FloweringIntensityGreaterThan80,SenescedGreaterThan80
2,5,8,27969, - Mx 1553#24,2,,4.6,3.5,4.7,5,15,220,19,183,150,189,,,y,y
2,5,9,27977, - Mx 1553#14,2,,4.4,6.7,5.5,0,15,300,16,157,123,157,,,y,y
2,5,10,aBR 15 fS B2-R5 C10, - Mx 1553#15,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,11,aBR 15 fS B2-R5 C11, - Mx 1553#85,2,,3.4,2.5,2.1,5,25,150,10,31,31,,0,,,y
2,5,12,28001, - Mx 1553#7,2,,4.4,3,4,0,10,230,22,134,119,134,,,y,y
2,6,12,28002, - Mx 1553#87,2,,5.1,4.1,4.9,0,0,250,14,151,133,151,y,,,y
2,6,11,27993, - Mx 1553#11,2,,5,7,4.1,0,15,270,14,128,105,128,,,y,y
2,6,10,27986, - Mx 1553#36,2,,7.3,5.9,4.5,0,15,240,12,165,150,165,,y,,y
2,6,9,aBR 15 fS B2-R6 C9, - Goliath,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,8,aBR 15 fS B2-R6 C8, - Goliath,2,,8.5,7.6,7,0,15,210,10,176,146,176,,,y,y
2,6,7,27961, - Mx 1553#82,2,,4.4,4.5,4.5,0,10,300,26,159,138,159,,,y,y
2,6,6,27953, - Mx 1553#114,2,,4.1,2.5,2.4,0,10,140,11,32,32,,0,,,y
2,6,5,27944, - Mx 1553#26,2,,7.1,4.3,3.2,25,40,150,6,44,44,,0,,,y
2,6,4,27935, - Mx 1553#3,2,,4.5,5.5,6.2,0,25,350,15,61,61,,0,,,y
2,6,3,27926, - Mx 1553#74,2,,3.2,4,3.7,0,5,290,19,142,113,142,,,y,y
2,6,2,27917, - Mx 1553#9,2,,7.1,3.4,5.8,0,20,190,9,43,43,,0,,,y
2,6,1,27908, - Mx 1553#32,2,,3.9,2.9,3.8,0,10,350,16,61,61,,0,,,y
2,7,1,27909, - Mx 1553#18,2,,3.9,4.4,3.4,0,15,270,31,127,104,127,,,y,y
2,7,2,27918, - Mx 1553#53,2,,4.3,3.8,4.8,0,5,340,12,137,113,141,,,y,y
2,7,3,27927, - Mx 1553#80,2,,4.7,4.5,5.9,0,5,210,15,123,97,123,,,y,y
2,7,4,27936, - Mx 1553#17,2,,5.8,4.7,6.1,5,10,200,6,114,78,114,,,y,y
2,7,5,27945, - Mx 1553#66,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,6,27954, - Mx 1553#1,2,,7.3,5.9,3.7,0,20,200,12,90,90,,0,,,y
2,7,7,27962, - Mx 1553#5,2,,2.2,3.3,3.4,0,25,210,10,16,16,,0,,,y
2,7,8,27970, - Mx 1553#101,2,,4.2,5.3,4.6,0,10,230,18,152,146,152,y,,,y
2,7,9,27978, - Mx 1553#23,2,,4.9,5.4,5.6,0,15,300,20,137,115,144,,,y,y
2,7,10,27987, - Mx 1553#41,2,,4.4,2.7,4.4,0,20,260,27,127,125,132,,,y,y
2,7,11,27994, - Mx 1553#37,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,12,28003, - Mx 1553#42,2,,5.5,4.4,2.1,0,10,260,19,116,87,122,,,y,y
2,8,12,28004, - Mx 1553#48,2,,3.2,4.6,3.4,0,20,250,25,110,100,,y,,,y
2,8,11,27995, - Mx 1553#69,2,,4.2,2.9,3.7,0,10,220,17,135,118,135,,,y,y
2,8,10,27988, - Mx 1553#116,2,,2.9,1.5,2.3,0,15,220,26,67,67,,0,,,y
2,8,9,27979, - Mx 1553#81,2,,3.8,3.3,4.5,0,5,200,12,120,92,120,,,y,y
2,8,8,27971, - Mx 1553#57,2,,4.2,3.5,5.8,5,20,350,14,125,97,126,,,y,y
2,8,7,27963, - Mx 1553#73,2,,6.2,5.3,3.9,0,15,260,16,115,93,115,,,y,y
2,8,6,27955, - Mx 1553#76,2,,3.3,4.1,3.1,0,5,280,13,135,104,138,,,y,y
2,8,5,27946, - Mx 1553#112,2,,6.2,5,3.4,5,30,200,11,41,41,,0,,,y
2,8,4,27937, - Mx 1553#67,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,3,27928, - Mx 1553#95,2,,4.4,2.8,5.6,0,10,370,15,123,105,124,,,y,y
2,8,2,27919, - Mx 1553#99,2,,6.4,5.2,2.8,0,5,170,6,115,92,115,,,y,y
2,8,1,27910, - Mx 1553#20,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,1,27911, - Mx 1553#11,2,,6.7,4.5,4.7,0,10,200,6,109,90,109,,y,,y
2,9,2,27920, - Mx 1553#71,2,,3.8,4.5,4.1,0,15,150,12,93,77,93,,,y,y
2,9,3,27929, - Mx 1553#2,2,,5.1,4,2.8,0,10,150,8,107,89,107,,,y,y
2,9,4,27938, - Mx 1553#34,2,,2.8,4.1,5.6,0,10,310,16,106,93,106,,,y,y
2,9,5,27947, - Mx 1553#63,2,,4.3,4,5.2,0,15,280,21,134,120,134,,,y,y
2,9,6,aBR 15 fS B2-R9 C6, - Goliath,2,,7.7,5.9,7.3,0,15,220,8,161,132,161,,,y,y
2,9,7,27964, - Mx 1553#61,2,,5.6,4.1,4.1,0,10,90,8,78,68,78,,,y,y
2,9,8,27972, - Mx 1553#45,2,,3.7,3.1,2.8,0,15,200,17,104,78,107,,,y,y
2,9,9,27980, - Mx 1553#12,2,,4.2,3.5,3.9,0,10,300,23,125,107,128,,y,,y
2,9,10,27989, - Mx 1553#105,2,,5.5,4.5,3.9,0,5,220,8,177,143,180,,,y,y
2,9,11,27996, - Mx 1553#120,2,,2.8,2.2,3.4,0,10,160,21,67,65,,y,,,y
2,9,12,28005, - Mx 1553#19,2,,5.2,5.3,4.9,0,15,200,14,131,108,131,,,y,y
3,1,1,28006, - Mx 1553#116,3,,2,3.5,2.8,0,10,260,28,75,75,,0,,,y
3,1,2,28015, - Mx 1553#91,3,,2.7,5.2,4.7,0,0,190,8,75,655,75,,y,,y
3,1,3,28023, - Mx 1553#96,3,,3.6,2.6,4.6,0,10,130,14,99,77,99,,,y,y
3,1,4,28032, - Mx 1553#14,3,,6.4,3.6,3,0,10,290,18,121,95,121,,,y,y
3,1,5,28040, - Mx 1553#73,3,,5.2,4.5,6.2,0,15,190,13,120,105,120,,,y,y
3,1,6,28049, - Mx 1553#79,3,,4.1,4.2,4.4,0,15,400,8,137,105,137,,y,,y
